Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_SensorBoard\Documentation\Pick and Place\STB_SensorBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       09.11.22
Time:       09:56
Revision:   18bfd3b5abf29e1933fc09800507b468027133b6
Variant:    STB_SensorBoard_main
Units used: mm

Designator Comment           Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
C9         10uF              TopLayer CAPC0603(1608)100_L       240.4000     348.4000     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C8         10uF              TopLayer CAPC0603(1608)100_L       240.3500     349.9000     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C7         10uF              TopLayer CAPC0603(1608)100_L       240.4000     351.4000     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C4         10uF              TopLayer CAPC0603(1608)100_L       271.3750     346.9250     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C3         10uF              TopLayer CAPC0603(1608)100_L       271.3750     348.4250     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C2         10uF              TopLayer CAPC0603(1608)100_L       271.3750     349.9250     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C1         10uF              TopLayer CAPC0603(1608)100_L       271.3750     351.4250     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C42        10uF              TopLayer CAPC0603(1608)100_L       124.1783     250.6724     270      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C21_T4     10uF              TopLayer CAPC0603(1608)100_L       295.3865     226.2042     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C21_T3     10uF              TopLayer CAPC0603(1608)100_L       295.3865     126.1742     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C21_T2     10uF              TopLayer CAPC0603(1608)100_L       48.6135      120.7958     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C21_T1     10uF              TopLayer CAPC0603(1608)100_L       48.6135      220.7958     180      "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C20_T4     10uF              TopLayer CAPC0603(1608)100_L       295.3865     224.8000     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
C20_T3     10uF              TopLayer CAPC0603(1608)100_L       295.3865     124.7700     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
